name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Mateu Lahoz,Spain,48,109,2,1,7,26
Anastasios Sidiropoulos,Greece,46,110,3,3,7,26
Kevin Blom,Netherlands,51,96,1,6,8,25
Michael Oliver,England,40,98,1,2,9,25
Alexandru Tudor,Romania,54,121,5,0,2,24
Stefan Johannesson,Sweden,53,96,5,0,6,24
Hüseyin Göçek,Türkiye,48,88,4,0,2,24
Harald Lechner,Austria,43,97,3,0,4,24
Sergiy Boyko,Ukraine,48,98,2,4,8,24
Tobias Stieler,Germany,44,114,5,0,5,24
Bas Nijhuis,Netherlands,48,99,3,2,3,23
Jorge Sousa,Portugal,50,102,3,2,5,23
Ruddy Buquet,France,48,103,2,1,6,23
Anthony Taylor,England,46,96,4,7,6,23
Benoît Bastien,France,42,93,6,6,11,23
Craig Pawson,England,46,108,3,0,5,23
Jakob Kehlet,Denmark,45,92,1,1,9,23
Luca Banti,Italy,51,77,1,2,5,22
Sergey Karasev,Russia,46,107,3,3,13,22
Kristo Tohver,Estonia,44,117,4,2,9,22
Yevgen Aranovskyi,Ukraine,49,95,8,0,3,22
Slavko Vincic,Slovenia,45,92,0,3,3,22
Pawel Raczkowski,Poland,42,107,3,0,11,22
Istvan Kovacs,Romania,41,95,3,3,5,22
Tamás Bognár,Hungary,46,101,4,3,6,22
Orel Grinfeld,Israel,44,95,4,2,4,22
Sandro Schärer,Switzerland,37,90,4,1,9,22
Nikola Dabanovic,Montenegro,43,76,0,2,6,22
Serge Gumienny,Belgium,53,98,5,4,7,21
Halis Özkahya,Türkiye,45,66,4,1,2,21
Liran Liany,Israel,48,82,0,2,4,21
John Beaton,Scotland,43,96,2,0,7,21
Cüneyt Çakır,Türkiye,48,72,1,2,8,20
Tony Chapron,France,53,86,1,3,10,20
Milorad Mazic,Serbia,52,115,1,3,8,20
Daniel Siebert,Germany,41,98,3,2,4,20
Gianluca Rocchi,Italy,52,79,4,1,5,19
Kristinn Jakobsson,Iceland,56,59,0,3,2,19
Damir Skomina,Slovenia,49,93,0,2,3,19
Björn Kuipers,Netherlands,52,80,2,3,3,19
Deniz Aytekin,Germany,47,91,4,2,7,19
Miroslav Zelinka,Czech Republic,44,92,2,2,2,19
Szymon Marciniak,Poland,44,92,5,3,10,19
Jesús Gil Manzano,Spain,41,74,1,2,4,19
Daniel Stefanski,Poland,48,89,2,2,8,19
Paolo Tagliavento,Italy,53,74,4,2,7,18
Manuel Gräfe,Germany,52,95,3,3,8,18
Danny Makkelie,Netherlands,42,70,3,1,5,18
Andreas Ekberg,Sweden,40,57,3,1,4,18
Aliyar Agayev,Azerbaijan,37,68,4,0,8,18
Davide Massa,Italy,44,78,1,0,3,18
Srdjan Jovanovic,Serbia,39,70,2,1,6,18
Irfan Peljto,Bosnia-Herzegovina,41,71,4,1,6,18
José María Sánchez Martínez,Spain,42,80,2,1,7,18
Martin Atkinson,England,54,86,1,1,5,17
Jonas Eriksson,Sweden,51,74,3,2,4,17
Mattias Gestranius,Finland,47,67,4,1,4,17
François Letexier,France,36,62,3,3,8,17
Svein Oddvar Moen,Norway,46,52,2,1,4,16
Simon Lee Evans,Wales,50,83,2,2,3,16
Marijo Strahonja,Croatia,50,83,4,1,3,16
Michalis Koukoulakis,Greece,50,77,1,1,1,16
Daniele Orsato,Italy,49,69,1,3,6,16
Radu Petrescu,Romania,42,56,1,2,2,16
Georgi Kabakov,Bulgaria,39,100,2,0,5,16
Undiano Mallenco,Spain,52,37,0,0,0,15
Estrada Fernández,Spain,49,64,3,1,6,15
Aleksey Eskov,Russia,47,57,1,3,4,15
Carlos del Cerro Grande,Spain,49,65,1,0,4,15
Mike Dean,England,57,72,3,4,3,14
Cristian Balaj,Romania,54,54,3,0,2,14
Florian Meyer,Germany,56,51,1,1,1,14
Craig Thomson,Scotland,53,56,1,2,2,14
Marcin Borski,Poland,52,73,3,2,5,14
Halil Umut Meler,Türkiye,39,42,0,2,2,14
Jérôme Brisard,France,39,70,3,0,4,14
Libor Kovarik,Czech Republic,49,62,1,1,2,13
Mark Clattenburg,England,50,62,2,2,1,13
Sébastien Delferière,Belgium,44,46,1,2,0,13
Tiago Martins,Portugal,45,71,3,2,6,13
Lawrence Visser,Belgium,35,60,3,0,3,13
Alan Kelly,Ireland,50,55,2,2,2,12
