name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Atanas Uzunov,Bulgaria,0,31,0,2,2,8,Champions
Graziano Cesari,Italy,68,23,0,1,0,8,Champions
Eduardo Iturralde González,Spain,58,28,1,0,2,8,Champions
Jorge Sousa,Portugal,50,27,0,2,4,8,Champions
Andreas Ekberg,Sweden,40,34,2,0,4,8,Champions
Donatas Rumšas,Lithuania,37,27,1,2,3,8,Champions
Kurt Röthlisberger,Switzerland,74,20,0,1,0,7,Champions
Ahmet Çakar,Türkiye,63,17,1,1,0,7,Champions
Matteo Trefoloni,Italy,54,28,0,2,2,7,Champions
Tom Harald Hagen,Norway,49,32,0,0,3,7,Champions
João Pinheiro,Portugal,37,24,0,0,1,7,Champions
Rade Obrenovic,Slovenia,35,36,1,0,1,7,Champions
Peter Mikkelsen,Denmark,0,14,0,0,0,6,Champions
Guy Goethals,Belgium,72,15,0,0,0,6,Champions
Vladimir Hrinak,Slovakia,0,19,0,1,0,6,Champions
István Vad,Hungary,50,21,0,0,3,6,Champions
Manuel Gräfe,Germany,52,26,0,1,1,6,Champions
Aleksandar Stavrev,North Macedonia,48,18,0,0,1,6,Champions
Marijo Strahonja,Croatia,50,22,3,0,1,6,Champions
Andris Treimanis,Latvia,40,22,1,1,6,6,Champions
Bobby Madden,Scotland,46,21,1,1,3,6,Champions
Radu Petrescu,Romania,42,29,0,0,2,6,Champions
Manfredas Lukjančukas,Lithuania,33,14,0,0,1,6,Champions
Dermot Gallagher,England,68,22,2,0,0,5,Champions
Grzegorz Gilewski,Poland,52,14,0,1,0,5,Champions
Tony Chapron,France,53,15,0,1,0,5,Champions
Fırat Aydınus,Türkiye,51,16,1,0,2,5,Champions
Martin Strömbergsson,Sweden,48,16,0,0,0,5,Champions
Bartosz Frankowski,Poland,39,21,1,0,1,5,Champions
Alejandro Hernández Hernández,Spain,42,14,2,0,2,5,Champions
Aliyar Agayev,Azerbaijan,37,24,0,0,1,5,Champions
Erik Lambrechts,Belgium,41,11,1,0,1,5,Champions
Jim McCluskey,Scotland,0,11,0,0,0,4,Champions
Rémy Harrel,France,71,9,0,0,1,4,Champions
Sergey Khusainov,Russia,71,10,0,1,0,4,Champions
Fabio Baldas,Italy,76,13,0,0,1,4,Champions
John Blankenstein,Netherlands,0,10,1,2,0,4,Champions
Vasilios Nikakis,Greece,72,8,0,0,2,4,Champions
Antonio Martín Navarrete,Spain,76,7,1,0,0,4,Champions
Oğuz Sarvan,Türkiye,70,5,0,0,1,4,Champions
Fritz Stuchlik,Austria,59,11,2,1,2,4,Champions
Michael McCurry,Scotland,61,18,0,0,0,4,Champions
Aleksey Nikolaev,Russia,54,13,1,0,0,4,Champions
Alan Kelly,Ireland,50,12,0,0,1,4,Champions
Antony Gautier,France,47,24,0,0,2,4,Champions
Pawel Raczkowski,Poland,42,9,0,0,1,4,Champions
Mykola Balakin,Ukraine,36,9,0,0,1,4,Champions
Jaap Uilenberg,Netherlands,75,6,0,0,0,3,Champions
Angelo Amendolia,Italy,0,7,0,0,0,3,Champions
Karl-Josef Assenmacher,Germany,78,3,0,0,1,3,Champions
Frans Van Den Wyngaert,Belgium,74,5,0,0,1,3,Champions
Philip Don,England,73,22,0,1,2,3,Champions
Pierluigi Pairetto,Italy,73,4,1,1,1,3,Champions
Georgios Bikas,Greece,70,17,0,1,0,3,Champions
Jacek Granat,Poland,59,14,0,0,0,3,Champions
Dr. Helmut Fleischer,Germany,61,9,1,0,1,3,Champions
Dr. Franz-Xaver Wack,Germany,60,9,0,0,0,3,Champions
Cosimo Bolognino,Italy,66,4,0,0,1,3,Champions
Darko Ceferin,Slovenia,57,12,0,0,0,3,Champions
Thomas Einwaller,Austria,48,11,0,0,0,3,Champions
Kevin Blom,Netherlands,51,15,0,1,1,3,Champions
Serge Gumienny,Belgium,53,12,0,0,0,3,Champions
Robert Schörgenhofer,Austria,52,11,0,1,1,3,Champions
Peter Rasmussen,Denmark,50,7,0,0,1,3,Champions
Gediminas Mazeika,Lithuania,47,11,0,0,2,3,Champions
Ali Palabıyık,Türkiye,44,9,0,0,2,3,Champions
Stéphanie Frappart,France,41,8,0,0,3,3,Champions
Urs Schnyder,Switzerland,39,18,0,1,4,3,Champions
Rohit Saggi,Norway,33,13,0,1,2,3,Champions
Roman Steindl,Austria,76,6,1,0,0,2,Champions
Charles Agius,Malta,69,8,0,1,0,2,Champions
Simo Ruokonen,Finland,0,8,0,0,2,2,Champions
Christer Fällström,Sweden,73,0,0,0,0,2,Champions
Roger Philippi,Luxembourg,73,3,0,0,0,2,Champions
Patrick Kelly,Ireland,0,0,0,0,0,2,Champions
Aleksey Spirin,Russia,0,3,0,0,0,2,Champions
Bo Jonas Hil Karlsson,Sweden,76,3,0,1,0,2,Champions
Aron Schmidhuber,Germany,78,4,0,0,1,2,Champions
Keith Burge,Wales,75,0,0,0,0,2,Champions
Joël Quiniou,France,75,6,0,0,0,2,Champions
Didier Pauchard,France,74,3,1,0,1,2,Champions
Zbigniew Przesmycki,Poland,73,13,0,0,0,2,Champions
Ilkka Koho,Finland,67,6,1,0,0,2,Champions
Jorge Coroado,Portugal,69,3,0,0,0,2,Champions
Hans-Jürgen Weber,Germany,70,7,0,0,0,2,Champions
Adrian Porumboiu,Romania,75,4,0,0,1,2,Champions
Amand Ancion,Belgium,67,11,1,1,4,2,Champions
Miroslav Radoman,Serbia,67,7,0,0,0,2,Champions
Dick van Egmond,Netherlands,64,4,0,0,0,2,Champions
Paulo Costa,Portugal,60,11,1,0,1,2,Champions
Michal Benes,Czech Republic,57,8,0,0,0,2,Champions
Zeljko Siric,Croatia,64,7,2,1,0,2,Champions
Georgios Kasnaferis,Greece,58,13,1,1,0,2,Champions
Alon Yefet,Israel,53,7,0,0,0,2,Champions
Jaroslav Jara,Czech Republic,61,11,0,0,0,2,Champions
Cristian Balaj,Romania,54,6,0,0,0,2,Champions
Stefan Johannesson,Sweden,53,7,0,0,0,2,Champions
Vladislav Bezborodov,Russia,52,5,0,0,0,2,Champions
Pawel Gil,Poland,49,10,0,0,0,2,Champions
Mattias Gestranius,Finland,47,9,1,0,0,2,Champions
Lawrence Visser,Belgium,35,10,0,0,1,2,Champions
Nikola Dabanovic,Montenegro,43,7,0,0,0,2,Champions
Giorgi Kruashvili,Georgia,39,7,0,0,0,2,Champions
Chris Kavanagh,England,40,9,0,0,0,2,Champions
Arie Frost,Israel,77,5,0,0,0,1,Champions
Lajos Hartmann,Hungary,78,0,0,0,0,1,Champions
Wilfred Wallace,Ireland,0,3,0,0,0,1,Champions
Mitko Mitrev,Bulgaria,0,1,0,0,1,1,Champions
Léon Schelings,Belgium,75,0,0,1,0,1,Champions
Hans Reygwart,Netherlands,76,0,0,0,0,1,Champions
Gerald Ashby,England,0,1,0,0,0,1,Champions
Rune Larsson,Sweden,73,2,0,0,0,1,Champions
Stavros Zakestidis,Greece,0,4,0,0,0,1,Champions
Frederick McKnight,Northern Ireland,79,1,0,0,0,1,Champions
Jiri Ulrich,Czech Republic,73,1,0,0,0,1,Champions
Fortunato Azevedo,Portugal,76,0,0,0,0,1,Champions
Erman Toroğlu,Türkiye,76,3,0,0,0,1,Champions
Hubert Forstinger,Austria,79,7,0,0,0,1,Champions
Alphonse Costantin,Belgium,80,0,0,0,0,1,Champions
Arcangelo Pezzella,Italy,77,4,0,0,0,1,Champions
Brian Hill,England,78,0,0,0,0,1,Champions
Jozef Marko,Slovakia,79,1,0,0,0,1,Champions
Eyjölfur Ólafsson,Iceland,72,3,0,0,0,1,Champions
Alan Snoddy,Northern Ireland,70,1,0,0,0,1,Champions
Andrey Butenko,Russia,71,0,0,0,0,1,Champions
Sándor Varga,Hungary,0,0,0,0,0,1,Champions
Georgian Ionescu,Romania,47,0,0,0,1,1,Champions
Fredy Philippoz,Switzerland,74,3,0,0,0,1,Champions
Dimitar Momirov,Bulgaria,74,2,0,0,0,1,Champions
Jan Damgaard,Denmark,72,0,0,0,0,1,Champions
António Marçal,Portugal,68,0,0,0,0,1,Champions
John Purcell,Ireland,76,0,0,0,0,1,Champions
Bujar Pregja,Albania,0,0,0,0,0,1,Champions
Joseph Timmons,Scotland,0,1,0,0,0,1,Champions
Robert Ihring,Slovakia,0,2,0,0,0,1,Champions
Eric Blareau,Belgium,66,0,0,1,1,1,Champions
Sándor Piller,Hungary,63,6,0,0,0,1,Champions
Edgar Steinborn,Germany,68,5,0,0,0,1,Champions
Juan Ansuátegui Roca,Spain,69,1,0,0,0,1,Champions
Vasyl Melnychuk,Ukraine,68,4,0,0,0,1,Champions
Dieter Schoch,Switzerland,62,3,0,1,1,1,Champions
Eric Romain,Belgium,66,3,0,0,0,1,Champions
Sorin Corpodean,Romania,60,6,0,0,0,1,Champions
Rob Styles,England,61,2,0,0,0,1,Champions
Nicolai Vollquartz,Denmark,60,3,0,0,0,1,Champions
Knut Kircher,Germany,56,4,0,0,1,1,Champions
Alexandru Tudor,Romania,54,1,0,0,0,1,Champions
Kristinn Jakobsson,Iceland,56,1,0,0,0,1,Champions
Nikolay Ivanov,Russia,61,5,0,0,0,1,Champions
Claudio Circhetta,Switzerland,54,6,0,1,0,1,Champions
Kostas Kapitanis,Cyprus,61,5,0,0,0,1,Champions
Bruno Paixão,Portugal,51,4,0,0,1,1,Champions
